all_repo_names,all_tool_names
warpgrad,"tqdm==4.38.0
,matplotlib==3.2.1
,numpy==1.18.3
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,joblib==0.14.1
,pillow==7.1.2
"
GraphsFewShot,"boto==2.49.0
,boto3==1.9.201
,botocore==1.12.201
,certifi==2019.6.16
,cffi==1.12.3
,chardet==3.0.4
,click==7.0
,community==1.0.0b1
,cycler==0.10.0
,cython==0.29.13
,decorator==4.4.0
,docutils==0.14
,flask==1.1.1
,future==0.17.1
,gensim==3.8.0
,grakel-dev==0.1a5
,h5py==2.9.0
,hopcroftkarp==1.2.4
,idna==2.8
,isodate==0.6.0
,itsdangerous==1.1.0
,jinja2==2.10.1
,jmespath==0.9.4
,joblib==0.13.2
,kiwisolver==1.1.0
,markupsafe==1.1.1
,matplotlib==3.1.1
,mkl-fft==1.0.6
,mkl-random==1.0.1
,networkx==2.3
,nose==1.3.7
,numpy==1.15.4
,pandas==0.25.0
,persim==0.1.0
,plyfile==0.7
,pot==0.5.1
,protobuf==3.9.0
,pycparser==2.19
,pyparsing==2.4.2
,python-dateutil==2.8.0
,pytz==2019.2
,rdflib==4.2.2
,requests==2.22.0
,ripser==0.4.1
,s3transfer==0.2.1
,scikit-learn==0.21.3
,scipy==1.3.0
,seaborn==0.9.0
,six==1.12.0
,smart-open==1.8.4
,tensorboardx==1.8
,texttable==1.6.2
,torch==1.1.0
,torch-cluster==1.4.3
,torch-geometric==1.3.0
,torch-scatter==1.3.1
,torch-sparse==0.4.0
,torchvision==0.2.1
,tqdm==4.32.2
,urllib3==1.25.3
,werkzeug==0.15.5
"
UGATIT,"opencv_python==4.1.2.30
,tensorflow==2.2.0rc3
,numpy==1.18.3
"
gnn-comparison,"networkx
,requests
,pyyaml
,torch
,torch_scatter
,torch_sparse
,torch_cluster
,torch_geometric
"
CROWN-IBP,"tensorflow==2.2.0rc3
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,numpy==1.18.3
,keras==2.3.1
,pillow==7.1.2
"
RL-based-Graph2Seq-for-NQG,"torch==0.4.1.post2
,pytorch-pretrained-bert==0.6.2
,gensim==3.5.0
,numpy==1.14.5
,pyyaml==5.1
"
epciclr2020,"absl-py==0.7.1
,astor==0.7.1
,atomicwrites==1.3.0
,attrs==19.1.0
,-e git+https://github.com/openai/baselines.git@2bca7901f51c88cdef3ca0666c6a87c454a4dbe8#egg=baselines
,certifi==2016.2.28
,click==7.0
,cloudpickle==1.2.1
,colorama==0.4.1
,cycler==0.10.0
,dill==0.3.0
,filelock==3.0.12
,flatbuffers==1.11
,funcsigs==1.0.2
,future==0.17.1
,gast==0.2.2
,grpcio==1.12.1
,gym==0.13.0
,h5py==2.7.0
,imageio==2.5.0
,importlib-metadata==0.18
,joblib==0.13.2
,keras-applications==1.0.8
,keras-preprocessing==1.1.0
,-e git+https://github.com/openai/maddpg.git@fbba5e45a5086160bdf6d9bfb0074b4e1fd1535e#egg=maddpg
,-e git+git@github.com:qian18long/epciclr2020.git@3685bfb4f8273f06799e1b4969e76e9abd4c90af#egg=maddpg_local
,markdown==2.6.9
,matplotlib==2.0.2
,mock==2.0.0
,more-itertools==7.2.0
,mpi4py==2.0.0
,-e git+git@github.com:qian18long/maddpg_qian.git@d25bf3ac2ebc554fa3589fcd6e453e411318999d#egg=multiagent&subdirectory=maddpg_qian/multiagent-particle-envs-master
,multiprocess==0.70.8
,numpy==1.17.0
,numpy-stl==2.10.1
,olefile==0.44
,opencv-python==4.1.0.25
,packaging==19.0
,pandas==0.20.3
,pathos==0.2.4
,patsy==0.4.1
,pbr==1.10.0
,pillow==4.2.1
,pluggy==0.12.0
,pox==0.2.6
,ppft==1.6.6.1
,protobuf==3.8.0
,py==1.8.0
,pyglet==1.3.2
,pyparsing==2.2.0
,pyperclip==1.7.0
,pytest==5.0.1
,python-dateutil==2.6.1
,python-utils==2.3.0
,pytz==2017.2
,pyyaml==5.1.1
,ray==0.7.2
,redis==3.2.1
,scipy==0.19.1
,seaborn==0.9.0
,six==1.10.0
,statsmodels==0.8.0
,tensorboard==1.13.1
,tensorflow==1.13.1
,tensorflow-estimator==1.13.0
,termcolor==1.1.0
,tqdm==4.32.2
,wcwidth==0.1.7
,werkzeug==0.12.2
,zipp==0.5.2
"
query2box,"numpy==1.18.3
,torch==1.5.0+cu101
,tensorboardx==2.0
"
adversarial-policies,"numpy>=1.15
,pandas>=0.24.1
,scikit-learn>=0.20.3
,pillow>=6.0.0
,matplotlib>=3.0.3
,theano>=1.0
,sacred>=0.8.1
,pymongo>=3.8.0
,gitpython>=2.1
,baselines @ git+https://github.com/humancompatibleai/baselines.git@f70377
,stable-baselines>=2.10.0
,ray[debug,tune]>=0.8.2
,boto3>=1.9
,awscli>=1.16
,statsmodels>=0.9.0
,seaborn>=0.9.0
,ilqr @ git+https://github.com/anassinator/ilqr.git
,gym[mujoco]==0.15.4
,mujoco-py-131 @ git+https://github.com/adamgleave/mujoco-py.git@mj131
,gym_compete @ git+https://github.com/humancompatibleai/multiagent-competition.git
"
FasterSeg,"easydict==1.9
,matplotlib==3.0.0
,numpy==1.16.1
,onnx==1.5.0
,opencv-python==3.4.4.19
,pillow==6.2.0
,protobuf==3.8.0
,scipy==1.1.0
,tensorboard==1.9.0
,tensorboardx==1.6
,thop==0.0.31.post2001170342
,torch==1.1.0
,torchvision==0.3.0
,tqdm==4.25.0
"
A2L,"tensorflow==2.2.0rc3
,matplotlib==3.2.1
,opencv_python==4.1.2.30
,keras==2.3.1
,tqdm==4.38.0
,numpy==1.18.3
,pillow==7.1.2
,segmentation_models==1.0.1
,vizdoom==1.1.7
"
fair_flearn,"numpy
,scipy
,tensorflow-gpu==1.10
,pillow
,matplotlib
,tqdm
"
RealnessGAN,"torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,numpy==1.18.3
,scipy==1.4.1
"
DropEdge,"asn1crypto==0.22.0
,certifi==2016.2.28
,cffi==1.10.0
,decorator==4.4.0
,idna==2.6
,networkx==2.3
,numpy==1.14.3
,olefile==0.45.1
,packaging==16.8
,pandas==0.24.2
,pillow==4.2.1
,pycosat==0.6.3
,pycparser==2.18
,pycrypto==2.6.1
,pyopenssl==17.0.0
,pyparsing==2.2.0
,python-dateutil==2.8.0
,pytz==2019.1
,requests==2.14.2
,scikit-learn==0.20.3
,scipy==1.2.1
,six==1.10.0
,torch>=0.4.0,<0.5.0
,torchvision==0.2.1
,tensorboard==2.1.0
,tensorboardx==2.0
"
rl-reliability-metrics,"gin-config
,matplotlib
,numpy
,scipy
,absl-py
,tensorflow
,tensorboard
"
c-swm,"scikit_image==0.16.2
,h5py==2.10.0
,matplotlib==3.2.1
,numpy==1.18.3
,tensorflow==2.2.0rc3
,gym==0.17.1
,torch==1.5.0+cu101
,pillow==7.1.2
,skimage==0.0
"
rewinding-iclr20-public,"matplotlib==3.2.1
,six==1.12.0
,requests==2.23.0
,absl_py==0.9.0
,psutil==5.4.8
,pandas==1.0.3
,numpy==1.18.3
,tensorflow==2.2.0rc3
,absl==0.0
,mlperf_compliance==0.0.10
,mock==4.0.2
,pillow==7.1.2
,protobuf==3.11.3
,pyyaml==5.3.1
"
sensitive-subspace-robustness,"scipy==1.4.1
,tensorflow==2.2.0rc3
,seaborn==0.10.1
,numpy==1.18.3
,pandas==1.0.3
,matplotlib==3.2.1
,aif360==0.2.3
,scikit_learn==0.22.2.post1
"
ml-capsules-inverted-attention-routing,"torch==1.5.0+cu101
,numpy==1.18.3
,torchvision==0.6.0+cu101
"
protein-ebm,"gemmi==0.2.7
,torch==1.2.0
,numpy==1.16.0
,tqdm==4.25.0
,tensorflow_gpu==1.14.0
,# you may need to install this with the following command:
,# $ pip install torch-scatter==latest+${cuda} -f https://pytorch-geometric.com/whl/torch-1.4.0.html
,# cu101 should be replaced with should be replaced by either cpu, cu92, cu100 or cu101 depending on your pytorch installation.
,torch-scatter==1.2.0
,fairseq==0.6.2
,pandas==0.24.0
,scipy==1.1.0
,easydict==1.9"
FedMA,"torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,numpy==1.18.3
,matplotlib==3.2.1
,scipy==1.4.1
,lapsolver==1.1.0
,pillow==7.1.2
,scikit_learn==0.22.2.post1
"
GA,"torch==1.5.0+cu101
,numpy==1.18.3
,rdkit==2009.q1-1
,selfies==0.2.4
,tensorboardx==2.0
"
SRU_for_GCI,"torch==1.5.0+cu101
,numpy==1.18.3
,matplotlib==3.2.1
"
MetaBO,"
"
overparameterized_convolutional_generators,"matplotlib==3.2.1
,pywavelets==1.1.1
,torchvision==0.6.0+cu101
,numpy==1.18.3
,scikit_image==0.16.2
,torch==1.5.0+cu101
,scipy==1.4.1
,pillow==7.1.2
,skimage==0.0
"
GraphMemoryNet,"gputil==1.4.0
,networkx==2.4
,numpy==1.17.4
,pickleshare==0.7.5
,requests==2.22.0
,scipy==1.3.2
,sklearn==0.0
,tensorboard==2.0.0
,tensorboard-logger==0.1.0
,tensorboardx==1.9
,torch==1.3.1
,torch-cluster==1.4.5
,torch-scatter==1.4.0
,torch-sparse==0.4.3
,torchtext==0.4.0
,torchvision==0.4.2
,urllib3==1.25.6
,zipp==0.6.0"
RobustDARTS,"seaborn==0.10.1
,torch==1.5.0+cu101
,graphviz==0.10.1
,torchvision==0.6.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,pyyaml==5.3.1
"
Permutation-Equivariant-Seq2Seq,"six==1.12.0
,numpy==1.18.3
,torch==1.5.0+cu101
"
Symplectic-ODENet,"gym==0.17.1
,autograd==1.3
,torch==1.5.0+cu101
,imageio==2.4.1
,numpy==1.18.3
,matplotlib==3.2.1
,scipy==1.4.1
,torchdiffeq==0.0.1
"
once-for-all,"torch==1.5.0+cu101
,tqdm==4.38.0
,torchvision==0.6.0+cu101
,numpy==1.18.3
,apex==0.9.10dev
,horovod==0.19.1
"
RL-Indirect-imitation,"cloudpickle==1.3.0
,pandas==1.0.3
,numpy==1.18.3
,gym==0.17.1
,torch==1.5.0+cu101
,pyyaml==5.3.1
"
CLCL,"matplotlib
,editdistance
"
remixmatch,"absl-py
,easydict
,cython
,numpy
,tensorflow-gpu==1.14.0
,tqdm
"
pytorch-blockswap,"torchvision==0.6.0+cu101
,pandas==1.0.3
,torch==1.5.0+cu101
,tqdm==4.38.0
,numpy==1.18.3
"
Max-Mahalanobis-Training,"absl-py==0.2.0
,ansible==2.0.0.2
,astor==0.6.2
,attrs==15.2.0
,backports-abc==0.5
,backports.functools-lru-cache==1.5
,backports.shutil-get-terminal-size==1.0.0
,backports.weakref==1.0.post1
,bleach==1.5.0
,blessings==1.6.1
,certifi==2018.10.15
,chardet==3.0.4
,cleverhans==2.1.0
,click==7.0
,cloudpickle==0.6.1
,configobj==5.0.6
,configparser==3.5.0
,cryptography==1.2.3
,cycler==0.10.0
,cython==0.29.3
,dask==1.1.0
,decorator==4.3.0
,defusedxml==0.5.0
,ecdsa==0.13
,entrypoints==0.3
,enum34==1.1.6
,flask==1.0.2
,funcsigs==1.0.2
,functools32==3.2.3.post2
,futures==3.2.0
,gast==0.2.0
,gpustat==0.4.1
,grpcio==1.11.0
,gyp==0.1
,h5py==2.8.0
,html5lib==0.9999999
,httplib2==0.9.1
,idna==2.7
,imagehash==4.0
,imageio==2.4.1
,imgaug==0.2.7
,iotop==0.6
,ipaddress==1.0.16
,ipykernel==4.10.0
,ipython==5.8.0
,ipython-genutils==0.2.0
,ipywidgets==7.4.2
,itsdangerous==1.1.0
,jinja2==2.10
,jsonschema==2.6.0
,jupyter==1.0.0
,jupyter-client==5.2.4
,jupyter-console==5.2.0
,jupyter-core==4.4.0
,kaggle==1.5.1.1
,keras==2.2.4
,keras-applications==1.0.6
,keras-preprocessing==1.0.5
,keras-tqdm==2.0.1
,kiwisolver==1.0.1
,landscape-client==16.3+bzr834
,lap==0.4.0
,mako==1.0.3
,markdown==2.6.11
,markupsafe==1.1.0
,matplotlib==2.2.3
,mistune==0.8.4
,mnist==0.2.2
,mock==2.0.0
,nbconvert==5.4.0
,nbformat==4.4.0
,netaddr==0.7.18
,networkx==2.2
,nose==1.3.7
,notebook==5.7.4
,numexpr==2.6.9
,numpy==1.14.3
,nvidia-ml-py==375.53.1
,ofed-le-utils==1.0.3
,opencv-python==4.0.0.21
,pam==0.4.2
,pandas==0.23.4
,pandocfilters==1.4.2
,paramiko==1.16.0
,pathlib2==2.3.3
,pbr==4.0.2
,pexpect==4.0.1
,pickleshare==0.7.5
,pillow==5.4.1
,pkg-resources==0.0.0
,prometheus-client==0.5.0
,prompt-toolkit==1.0.15
,protobuf==3.6.1
,psutil==5.4.3
,ptyprocess==0.5
,pulp==1.6.8
,pyasn1==0.1.9
,pyasn1-modules==0.0.7
,pycodestyle==2.4.0
,pycrypto==2.6.1
,pycups==1.9.73
,pycurl==7.43.0
,pygments==2.3.1
,pygobject==3.20.0
,pymysql==0.7.2
,pyopengl==3.0.2
,pyopenssl==0.15.1
,pyparsing==2.3.1
,pyserial==3.0.1
,pysmbc==1.0.15.5
,pyste==0.9.10
,python-apt==1.1.0b1+ubuntu0.16.4.2
,python-dateutil==2.7.3
,python-slugify==2.0.1
,pytz==2018.7
,pywavelets==1.0.1
,pyyaml==3.13
,pyzmq==17.1.2
,qtconsole==4.4.3
,requests==2.20.0
,scandir==1.9.0
,scikit-image==0.13.0
,scikit-learn==0.20.2
,scipy==0.17.0
,seaborn==0.9.0
,send2trash==1.5.0
,service-identity==16.0.0
,shapely==1.6.4.post2
,simplegeneric==0.8.1
,singledispatch==3.4.0.3
,six==1.10.0
,sklearn==0.0
,subprocess32==3.5.3
,tables==3.4.4
,tensorboard==1.9.0
,tensorflow-gpu==1.9.0
,tensorflow-hub==0.2.0
,termcolor==1.1.0
,terminado==0.8.1
,testpath==0.4.2
,toolz==0.9.0
,tornado==5.1.1
,tqdm==4.29.1
,traitlets==4.3.2
,trash-cli==0.12.9.14
,twisted==16.0.0
,unidecode==1.0.23
,urllib3==1.22
,virtualenv==15.0.1
,wcwidth==0.1.7
,werkzeug==0.14.1
,widgetsnbextension==3.4.2
,zope.interface==4.1.3
"
joint-align,"torch==1.5.0+cu101
,numpy==1.18.3
,tqdm==4.38.0
,transformers==2.8.0
"
DeepHoyer,"matplotlib==3.2.1
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,tqdm==4.38.0
,numpy==1.18.3
,scipy==1.4.1
,scikit_learn==0.22.2.post1
"
convcnp,"numpy
,matplotlib
,
,torch
,stheno
,
,python-slugify
"
Learning-to-Group,"numpy==1.18.3
,scipy==1.4.1
,torch==1.5.0+cu101
,tqdm==4.38.0
,matplotlib==3.2.1
,h5py==2.10.0
,natsort==5.5.0
,tabulate==0.8.7
,ipython==7.14.0
,open3d==0.9.0.0
,pillow==7.1.2
,progressbar33==2.4
,tensorboardx==2.0
,yacs==0.1.7
"
nasbench-1shot1,"numpy==1.18.3
,hyperopt==0.1.2
,statsmodels==0.10.2
,graphviz==0.10.1
,torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,tensorflow==2.2.0rc3
,tensorflow_probability==0.10.0rc0
,seaborn==0.10.1
,networkx==2.4
,pandas==1.0.3
,matplotlib==3.2.1
,scipy==1.4.1
,configspace==0.4.12
,hpbandster==0.7.4
,ipython==7.14.0
,netifaces==0.10.9
,pillow==7.1.2
,pyro4==4.80
"
genesis,"matplotlib==3.2.1
,torchvision==0.6.0+cu101
,tensorflow==2.2.0rc3
,numpy==1.18.3
,imageio==2.4.1
,torch==1.5.0+cu101
,tqdm==4.38.0
,scipy==1.4.1
,attrdict==2.0.1
,pillow==7.1.2
,scikit_learn==0.22.2.post1
,simplejson==3.17.0
,tensorboardx==2.0
"
deconvolution,"torchvision==0.6.0+cu101
,numpy==1.18.3
,matplotlib==3.2.1
,opencv_python==4.1.2.30
,torch==1.5.0+cu101
"
Understanding-NAS,"torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,numpy==1.18.3
"
mvae,"torch==1.5.0+cu101
,bokeh==1.4.0
,pytest==3.6.4
,scipy==1.4.1
,tensorflow==2.2.0rc3
,pandas==1.0.3
,numpy==1.18.3
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
,geoopt==0.1.2
,pillow==7.1.2
,protobuf==3.11.3
,scikit_learn==0.22.2.post1
,tensorboardx==2.0
"
EITI-EDTI,"numpy==1.18.3
,click==7.1.2
,matplotlib==3.2.1
,seaborn==0.10.1
,opencv_python==4.1.2.30
,pytest==3.6.4
,scipy==1.4.1
,gym==0.17.1
,pandas==1.0.3
,cloudpickle==1.3.0
,statsmodels==0.10.2
,tqdm==4.38.0
,joblib==0.14.1
,tensorflow==2.2.0rc3
,tensorflow_probability==0.10.0rc0
,glob2==0.7
,filelock==3.0.12
,mpi==0.0.2
,mpi4py==3.0.3
,mujoco_py==2.0.2.9
,retro==2.8.7
,roboschool==1.0.49
"
DynamicSaprseTraining,"torch==1.5.0+cu101
,numpy==1.18.3
,torchvision==0.6.0+cu101
"
CausalOptimizationAnon,"torch==1.0.0
,numpy
,jupyter
,tqdm
,matplotlib
,scipy
,seaborn
"
sequential-knowledge-transformer,"psutil==5.4.8
,nltk==3.2.5
,requests==2.23.0
,six==1.12.0
,absl_py==0.9.0
,tensorflow_addons==0.8.3
,tensorflow_probability==0.10.0rc0
,tqdm==4.38.0
,spacy==2.2.4
,numpy==1.18.3
,tensorflow==2.2.0rc3
,torch==1.5.0+cu101
,pandas==1.0.3
,more_itertools==8.2.0
,absl==0.0
,better_exceptions==0.2.2
,colorful==0.5.4
,colorlog==4.1.0
,ipython==7.14.0
,mlperf_compliance==0.0.10
,mock==4.0.2
,parlai==0.1.20200416
,protobuf==3.11.3
,pudb==2019.2
,ruamel.base==1.0.0
,scikit_learn==0.22.2.post1
"
Pseudo_Lidar_V2,"configargparse==1.
,opencv-python
,scipy
,tensorboardx
,tqdm
,pillow==6.2.0
"
l2b,"tqdm==4.38.0
,tensorflow==2.2.0rc3
,requests==2.23.0
,numpy==1.18.3
,scipy==1.4.1
,pillow==7.1.2
"
bsuite,"six==1.12.0
,dopamine_rl==1.0.5
,matplotlib==3.2.1
,scipy==1.4.1
,tensorflow==2.2.0rc3
,absl_py==0.9.0
,gym==0.17.1
,numpy==1.18.3
,tensorflow_probability==0.10.0rc0
,pandas==1.0.3
,plotnine==0.6.0
,tqdm==4.38.0
,scikit_image==0.16.2
,termcolor==1.1.0
,absl==0.0
,dm_env==1.2
,dopamine==0.7
,frozendict==1.2
,haiku==0.01
,mock==4.0.2
,skimage==0.0
,sonnet==0.1.6
,tree==0.2.4
,trfl==1.1.0
"
ifl-tpp,"numpy==1.18.3
,torch==1.5.0+cu101
,scipy==1.4.1
,scikit_learn==0.22.2.post1
"
RaCT_CF,"numpy
,# tensorflow>=1.10.0,<=1.14
,bottleneck
,pandas
,scipy
,seaborn
,matplotlib
,scikit-learn==0.20.0
,jupyter
"
Certify_Topk,"scipy==1.4.1
,statsmodels==0.10.2
,numpy==1.18.3
"
BinaryDuo,"
"
ARML,"numpy==1.18.3
,tqdm==4.38.0
,opencv_python==4.1.2.30
,tensorflow==2.2.0rc3
,matplotlib==3.2.1
,ipdb==0.13.2
"
dads,"gym==0.17.1
,numpy==1.18.3
,tensorflow_probability==0.10.0rc0
,absl_py==0.9.0
,tensorflow==2.2.0rc3
,matplotlib==3.2.1
,absl==0.0
,mujoco_py==2.0.2.9
,robel==0.1.2
,tf_agents==0.4.0
"
imd,"numpy
,scipy
,# pykgraph # optional"
ExpressGNN,"networkx==2.4
,numpy==1.18.3
,torch==1.5.0+cu101
,tqdm==4.38.0
,scikit_learn==0.22.2.post1
"
editable,"torch>=1.1.0
,numpy>=0.13
,scipy>=1.2.0
,scikit-learn>=0.17
,torchvision
,matplotlib
,tqdm
,tensorboardx
,pandas
,prefetch_generator
"
electra,"numpy==1.18.3
,tensorflow==2.2.0rc3
,matplotlib==3.2.1
,six==1.12.0
,scipy==1.4.1
,scikit_learn==0.22.2.post1
"
MaSS,"tensorflow==2.2.0rc3
,numpy==1.18.3
,keras==2.3.1
"
Explanation_by_Progressive_Exaggeration,"pandas==0.23.4
,numpy==1.15.0
,pyyaml==3.13
,tensorboard==1.12.2
,tensorboardx==1.6
,tensorflow-gpu==1.12.3
,tqdm==4.31.1
,scipy==1.1.0"
deep-graph-matching-consensus,"torch==1.5.0+cu101
,pykeops==1.4
,sphinx_rtd_theme==0.4.3
,torch_geometric==1.4.3
,torch_scatter==2.0.4
"
zebrafish-learning,"numpy=1.16.4
,matplotlib=3.1.1
,h5py=2.9.0
,tqdm=4.32.2
,cv2=4.1.0.25
,scikit-learn=0.21.2
,torch=1.1.0
,tensorflow=1.14.0
,keras=2.2.4
,innvestigate=1.0.8"
bert-nmt,"numpy==1.18.3
,tensorflow==2.2.0rc3
,tqdm==4.38.0
,nltk==3.2.5
,requests==2.23.0
,boto3==1.12.47
,botocore==1.15.47
,torch==1.5.0+cu101
,apex==0.9.10dev
,sacrebleu==1.4.9
,sacremoses==0.0.41
,sentencepiece==0.1.86
,subword_nmt==0.3.7
,tensorboardx==2.0
"
interaction_interpretability,"deepctr==0.6.0
,future==0.17.1
,h5py==2.8.0
,jupyterlab==1.2.6
,matplotlib==3.1.2
,nltk==3.3
,numpy==1.17.1
,ipywidgets==6.0.0
,pandas==0.20.3
,protobuf==3.11.2
,scikit-image==0.14.0
,scikit-learn==0.21.3
,scipy==1.3.1
,tables==3.5.2
,tensorboard==1.14.0
,tensorflow-estimator==1.14.0
,tensorflow-gpu==1.14.0
,torch==1.3.1
,torchtext==0.3.1
,torchvision==0.4.2
,tqdm==4.32.2
,transformers==2.4.1"
attention-cnn,"boto3==1.9.234
,tabulate==0.8.3
,tensorboardx==1.8
,termcolor==1.1.0
,thop==0.0.31
"
hypercl,"scipy==1.4.1
,torchvision==0.6.0+cu101
,pandas==1.0.3
,numpy==1.18.3
,tensorflow==2.2.0rc3
,packaging==20.3
,matplotlib==3.2.1
,torch==1.5.0+cu101
,bsub==0.3.5
,pillow==7.1.2
,scikit_learn==0.22.2.post1
,tensorboardx==2.0
"
iclr20-lcn,"numpy==1.18.3
,torch==1.5.0+cu101
,scikit_learn==0.22.2.post1
"
ExpectedInformationMaximization,"numpy==1.18.3
,matplotlib==3.2.1
,tensorflow==2.2.0rc3
,numba==0.48.0
,scipy==1.4.1
,nlopt==2.6.1
,pillow==7.1.2
,pyyaml==5.3.1
,scikit_learn==0.22.2.post1
"
TREMBA,"torch==1.5.0+cu101
,torchvision==0.6.0+cu101
,numpy==1.18.3
"
LambdaNet,"requests==2.23.0
"
hijacking,"scipy==1.4.1
,keras==2.3.1
,tqdm==4.38.0
,tensorflow==2.2.0rc3
,numpy==1.18.3
,opencv_python==4.1.2.30
,pillow==7.1.2
,scikit_learn==0.22.2.post1
"
Deep-SAD-PyTorch,"click==7.0
,cvxopt==1.2.3
,cycler==0.10.0
,joblib==0.13.2
,kiwisolver==1.1.0
,matplotlib==3.1.0
,numpy==1.16.4
,pandas==0.24.2
,pillow==6.0.0
,pyparsing==2.4.0
,python-dateutil==2.8.0
,pytz==2019.1
,scikit-learn==0.21.2
,scipy==1.3.0
,seaborn==0.9.0
,six==1.12.0
,torch==1.1.0
,torchvision==0.3.0
"
TruthOrBackpropaganda,"numpy==1.18.3
,torch==1.5.0+cu101
,tqdm==4.38.0
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
,scipy==1.4.1
"
What-Can-Neural-Networks-Reason-About,"scipy==1.4.1
,torch==1.5.0+cu101
,numpy==1.18.3
,scikit_learn==0.22.2.post1
"
GraphZoom,"numpy==1.16.4
,networkx==2.3.0
,scipy==1.3.1
,scikit-learn==0.21.2
,gensim==3.4.0
,theano==1.0.4
,tensorboard==1.15.0
,tensorflow==1.15.2
"
fspool,"numpy==1.18.3
,opencv_python==4.1.2.30
,scipy==1.4.1
,networkx==2.4
,h5py==2.10.0
,matplotlib==3.2.1
,torch==1.5.0+cu101
,pandas==1.0.3
,six==1.12.0
,tqdm==4.38.0
,pytest==3.6.4
,torchvision==0.6.0+cu101
,gputil==1.4.0
,manimlib==0.1.10
,pillow==7.1.2
,plyfile==0.7.2
,scikit_learn==0.22.2.post1
,sphinx_rtd_theme==0.4.3
,tensorboardx==2.0
,torch_cluster==1.5.4
,torch_scatter==2.0.4
,torch_sparse==0.6.1
,torch_spline_conv==1.2.0
"
counterfactually-augmented-data,"
"
pau,"torch==1.5.0+cu101
,matplotlib==3.2.1
,torchvision==0.6.0+cu101
,numpy==1.18.3
,airspeed==0.5.15
,tensorboardx==2.0
"
